arquivo;curso_codigo;curriculo_ordinal;curriculo_disciplina;curriculo_ch_horas;numero_ue;topico;ue_ch_horas;destino_disciplina_codigo;fundamento_normativo;fundamento_origem;observacao;motivo_da_exclusao
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;VI;GEODÉSIA;107;6;POSICIONAMENTO GEODÉSICO COM SATÉLITES ARTIFICIAIS;50;8 - CAHO - VI;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;VII;GEOLOGIA E GEOFÍSICA MARINHA;40;1;GEOLOGIA;4;9 - CAHO - VII;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;VII;GEOLOGIA E GEOFÍSICA MARINHA;40;2;ESTRUTURA DA TERRA;2;9 - CAHO - VII;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;VII;GEOLOGIA E GEOFÍSICA MARINHA;40;3;TECTÔNICA DE PLACAS;4;9 - CAHO - VII;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;VII;GEOLOGIA E GEOFÍSICA MARINHA;40;4;FISIOGRAFIA DO FUNDO OCEÂNICO;4;9 - CAHO - VII;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;VII;GEOLOGIA E GEOFÍSICA MARINHA;40;5;TIPOS DE MARGEM;4;9 - CAHO - VII;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;VII;GEOLOGIA E GEOFÍSICA MARINHA;40;6;INTRODUÇÃO GERAL À GEOFÍSICA MARINHA;1;9 - CAHO - VII;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;VII;GEOLOGIA E GEOFÍSICA MARINHA;40;7;GRAVIMETRIA OCEÂNICA;4;9 - CAHO - VII;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;VII;GEOLOGIA E GEOFÍSICA MARINHA;40;8;MÉTODO MAGNETOMÉTRICO MARINHO;4;9 - CAHO - VII;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;VII;GEOLOGIA E GEOFÍSICA MARINHA;40;9;MORFOLOGIA E PROCESSOS LITORÂNEOS;5;9 - CAHO - VII;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;VII;GEOLOGIA E GEOFÍSICA MARINHA;40;10;SEDIMENTOLOGIA;3;9 - CAHO - VII;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;VII;GEOLOGIA E GEOFÍSICA MARINHA;40;11;MÉTODO SÍSMICO MARINHO;5;9 - CAHO - VII;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;VIII;AUXÍLIOS À NAVEGAÇÃO;30;1;CONCEITOS BÁSICOS DE AUXÍLIOS À NAVEGAÇÃO;3;10 - CAHO - VIII;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;VIII;AUXÍLIOS À NAVEGAÇÃO;30;2;OS AUXÍLIOS À NAVEGAÇÃO E O NAVEGANTE;4;10 - CAHO - VIII;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;VIII;AUXÍLIOS À NAVEGAÇÃO;30;3;ESTRUTURAS;3;10 - CAHO - VIII;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;VIII;AUXÍLIOS À NAVEGAÇÃO;30;4;EQUIPAMENTOS LUMINOSOS;3;10 - CAHO - VIII;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;VIII;AUXÍLIOS À NAVEGAÇÃO;30;5;PROJETOS DE AUXÍLIOS À NAVEGAÇÃO;6;10 - CAHO - VIII;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;VIII;AUXÍLIOS À NAVEGAÇÃO;30;6;ADMINISTRAÇÃO DOS AUXÍLIOS À NAVEGAÇÃO;5;10 - CAHO - VIII;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;VIII;AUXÍLIOS À NAVEGAÇÃO;30;7;NOVAS TECNOLOGIAS, SISTEMAS E MÉTODOS DE AUXÍLIOS À NAVEGAÇÃO;6;10 - CAHO - VIII;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;IX;CARTOGRAFIA;41;1;CONCEITOS INTRODUTÓRIOS;4;11 - CAHO - IX;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;IX;CARTOGRAFIA;41;2;DATUM E COORDENADAS;7;11 - CAHO - IX;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;IX;CARTOGRAFIA;41;3;CONVENÇÕES CARTOGRÁFICAS;5;11 - CAHO - IX;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;IX;CARTOGRAFIA;41;4;PROJEÇÕES CARTOGRÁFICAS;7;11 - CAHO - IX;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;IX;CARTOGRAFIA;41;5;PROJEÇÃO DE MERCATOR;6;11 - CAHO - IX;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;IX;CARTOGRAFIA;41;6;PROJEÇÕES TRANSVERSAIS DE MERCATOR;12;11 - CAHO - IX;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;X;MARÉS;86;1;O FENÔMENO DA MARÉ;3;12 - CAHO - X;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;X;MARÉS;86;2;FORÇAS GERADORAS DE MARÉ;6;12 - CAHO - X;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;X;MARÉS;86;3;MARÉ DE EQUILÍBRIO;9;12 - CAHO - X;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;X;MARÉS;86;4;MOVIMENTOS DA LUA E DO SOL;8;12 - CAHO - X;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;X;MARÉS;86;5;DESENVOLVIMENTO HARMÔNICO DA MARÉ;6;12 - CAHO - X;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;X;MARÉS;86;6;ANÁLISES ESPECTRAL E HARMÔNICA DA MARÉ;14;12 - CAHO - X;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;X;MARÉS;86;7;MARÉS EM ÁGUAS RASAS;6;12 - CAHO - X;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;X;MARÉS;86;8;MÉTODOS DE PREVISÃO DE MARÉS;6;12 - CAHO - X;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;X;MARÉS;86;9;CORRENTES DE MARÉ;6;12 - CAHO - X;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;X;MARÉS;86;10;ESTAÇÃO MAREGRÁFICA;8;12 - CAHO - X;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;X;MARÉS;86;11;REDUÇÃO DE SONDAGENS;14;12 - CAHO - X;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XI;NAVEGAÇÃO: SISTEMAS E NORMAS;49;1;PUBLICAÇÕES DE AUXÍLIO À NAVEGAÇÃO;5;13 - CAHO - XI;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XI;NAVEGAÇÃO: SISTEMAS E NORMAS;49;2;LEGISLAÇÃO REFERENTE À SEGURANÇA DA NAVEGAÇÃO;7;13 - CAHO - XI;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XI;NAVEGAÇÃO: SISTEMAS E NORMAS;49;3;CONVENÇÃO DAS NAÇÕES UNIDAS SOBRE O DIREITO DO MAR (CNDUM);4;13 - CAHO - XI;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XI;NAVEGAÇÃO: SISTEMAS E NORMAS;49;4;RESPONSABILIDADE CIVIL DO HIDRÓGRAFO;6;13 - CAHO - XI;Of no 10-6/2025;oficio;;
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;XI;NAVEGAÇÃO: SISTEMAS E NORMAS;49;5;CARTAS NÁUTICAS, SISTEMAS DE APRESENTAÇÃO DE CARTAS ELETRÔNICAS (ECDIS e ECS);12;13 - CAHO - XI;Of no 10-6/2025;oficio;;
