arquivo;curso_sigla;disciplina_ordinal;disciplina_nome;disciplina_ch_horas;numero_ue;topico;ue_ch_horas;qtd_subunidades;subunidades
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;V;METEOROLOGIA;78;3;VENTOS E A CIRCULAÇÃO GERAL DA ATMOSFERA;12;3;"Sistemas globais de vento e pressão | Ventos locais: brisa marítima e ventos anabáticos e catabáticos; e | Interação oceano-atmosfera e variações na circulação atmosférica"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;V;METEOROLOGIA;78;4;PREVISÃO DO TEMPO: SISTEMAS ATMOSFÉRICOS;12;4;"Massas de ar (Anticiclones) e frentes | Ciclones: tropicais subtropicais e extratropicais | Tempestades severas; e | Sistemas sinóticos que atuam no Brasil"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;V;METEOROLOGIA;78;5;PREVISÃO DO TEMPO: TÉCNICAS DE PREVISÃO;14;4;"Princípios da previsão do tempo | Cartas e gráficos sinóticos para a previsão do tempo | Boletins e avisos meteorológicos; e | Previsão numérica do tempo"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;V;METEOROLOGIA;78;6;METEOROLOGIA APLICADA NA MB;12;3;"Códigos meteorológicos e intercâmbio internacional de dados | NAVEMARINST10-11 e NORMAM-19; e | Meteorologia nos LH"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;VI;GEODÉSIA;107;1;INTRODUÇÃO À GEODÉSIA;10;2;"Histórico e conceitos introdutórios; e | Sistemas de coordenadas e tempo utilizados em Geodésia"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;VI;GEODÉSIA;107;2;GEODÉSIA GEOMÉTRICA;13;2;"Introdução à Geodésia Geométrica; e | Geometria no elipsoide de revolução"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;VI;GEODÉSIA;107;3;GEODÉSIA FÍSICA;8;2;"Campo gravitacional da terra; e | Métodos de Determinação do Geoide e Altitudes"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;VI;GEODÉSIA;107;4;SISTEMAS GEODÉSICOS DE REFERÊNCIA;9;3;"Sistemas geodésicos clássicos e sistemas geodésicos geocêntricos | Sistemas geodésicos e data brasileiros; e | Influência da gravidade no elipsoide terrestre"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;VI;GEODÉSIA;107;5;CÁLCULOS GEODÉSICOS;17;3;Transporte de coordenadas sobre a superfície do Elipsoide | Transformação de coordenadas Geodésicas em Planas UTM (Universal Transverso | Transformações entre sistemas geodésicos
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;VI;GEODÉSIA;107;6;POSICIONAMENTO GEODÉSICO COM SATÉLITES ARTIFICIAIS;50;6;"Geometria das Órbitas | Sistemas e sinais do GNSS | Observáveis GNSS e Fontes de Erros | Métodos e técnicas de posicionamento relativo e absoluto | Planejamento do rastreio GNSS; e | Prática de rastreio GNSS"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;VII;GEOLOGIA E GEOFÍSICA MARINHA;40;1;GEOLOGIA;4;1;Conceitos elementares
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;VII;GEOLOGIA E GEOFÍSICA MARINHA;40;2;ESTRUTURA DA TERRA;2;2;"Estrutura interna da terra; e | Origem do campo magnético terrestre"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;VII;GEOLOGIA E GEOFÍSICA MARINHA;40;3;TECTÔNICA DE PLACAS;4;1;Teoria da Deriva Continental
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;VII;GEOLOGIA E GEOFÍSICA MARINHA;40;4;FISIOGRAFIA DO FUNDO OCEÂNICO;4;1;Margem continental, bacia oceânica e cordilheira oceânica
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;VII;GEOLOGIA E GEOFÍSICA MARINHA;40;5;TIPOS DE MARGEM;4;1;Margem passiva e ativa
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;VII;GEOLOGIA E GEOFÍSICA MARINHA;40;6;INTRODUÇÃO GERAL À GEOFÍSICA MARINHA;1;1;Conceitos elementares de Geofísica
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;VII;GEOLOGIA E GEOFÍSICA MARINHA;40;7;GRAVIMETRIA OCEÂNICA;4;3;"O campo da gravidade terrestre | Equipamentos e instrumentos de medição; e | Levantamento gravimétrico: procedimentos de coleta, processamento de dados e"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;VII;GEOLOGIA E GEOFÍSICA MARINHA;40;8;MÉTODO MAGNETOMÉTRICO MARINHO;4;4;Método magnetométrico marinho | Equipamentos e instrumentos de medição | Levantamento magnetométrico: procedimentos de coleta, processamento de | Modelos de campos magnéticos globais e bases de dados
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;VII;GEOLOGIA E GEOFÍSICA MARINHA;40;9;MORFOLOGIA E PROCESSOS LITORÂNEOS;5;4;"Tipos de costas | Erosão, transporte e deposição | Variabilidade espaço-temporal das formas de fundo; e | Estuários"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;VII;GEOLOGIA E GEOFÍSICA MARINHA;40;10;SEDIMENTOLOGIA;3;2;"Métodos de coleta e análise de sedimentos; e | Coleta de amostras de fundo marinho"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;VII;GEOLOGIA E GEOFÍSICA MARINHA;40;11;MÉTODO SÍSMICO MARINHO;5;2;"Métodos de sísmica marinha; e | Equipamentos e instrumentos de medição"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;VIII;AUXÍLIOS À NAVEGAÇÃO;30;1;CONCEITOS BÁSICOS DE AUXÍLIOS À NAVEGAÇÃO;3;3;"Conceitos básicos | Sinais náuticos e auxílios à navegação; e | Sistema de balizamento"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;VIII;AUXÍLIOS À NAVEGAÇÃO;30;2;OS AUXÍLIOS À NAVEGAÇÃO E O NAVEGANTE;4;5;"Alcance geográfico e alcance visual | Fontes luminosas: conceitos básicos | Alcance luminoso noturno e diurno e alcance nominal | Alcance dos auxílios radioelétricos; e | Publicações de auxílio à navegação"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;VIII;AUXÍLIOS À NAVEGAÇÃO;30;3;ESTRUTURAS;3;3;"Sinais fixos | Sinais flutuantes I; e | Sinais flutuantes II"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;VIII;AUXÍLIOS À NAVEGAÇÃO;30;4;EQUIPAMENTOS LUMINOSOS;3;4;Fontes luminosas, concentração e orientação da luz e aparelhos óticos | Produtores de fase | Fontes de energia, cálculo do consumo de fontes de energia, interruptores de | Fontes naturais alternativas de energia
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;VIII;AUXÍLIOS À NAVEGAÇÃO;30;5;PROJETOS DE AUXÍLIOS À NAVEGAÇÃO;6;2;"Coleta de dados para elaboração de projeto; e | Processamento das informações de projeto"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;VIII;AUXÍLIOS À NAVEGAÇÃO;30;6;ADMINISTRAÇÃO DOS AUXÍLIOS À NAVEGAÇÃO;5;5;"Serviços de sinalização náutica | Instalações e recursos materiais | Recursos humanos | Recursos financeiros; e | Fiscalização dos auxílios à navegação"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;VIII;AUXÍLIOS À NAVEGAÇÃO;30;7;NOVAS TECNOLOGIAS, SISTEMAS E MÉTODOS DE AUXÍLIOS À NAVEGAÇÃO;6;5;"Análise e traçado de canais | Análise e gerenciamento de risco | Automatic Identification System (AIS) | e-Navigation; e | Vessel Traffic Service (VTS)"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;IX;CARTOGRAFIA;41;1;CONCEITOS INTRODUTÓRIOS;4;3;"Propósito da Cartografia | Conceitos básicos da Cartografia; e | Posicionamento clássico"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;IX;CARTOGRAFIA;41;2;DATUM E COORDENADAS;7;2;"Tipos de Datum; e | Coordenadas"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;IX;CARTOGRAFIA;41;3;CONVENÇÕES CARTOGRÁFICAS;5;1;Representação da superfície da terra sobre o plano
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;IX;CARTOGRAFIA;41;4;PROJEÇÕES CARTOGRÁFICAS;7;4;"Classificação dos sistemas de projeção | Propriedades e aplicações das projeções planas | Propriedades e aplicações das projeções cônicas; e | Propriedades e aplicações das projeções cilíndricas"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;IX;CARTOGRAFIA;41;5;PROJEÇÃO DE MERCATOR;6;3;"Propriedades e aplicações da Projeção de Mercator | Quadriculado da Projeção de Mercator; e | Quadriculado do plano"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;IX;CARTOGRAFIA;41;6;PROJEÇÕES TRANSVERSAIS DE MERCATOR;12;3;"Projeções Transversas (TM) | Sistema UTM; e | Outras projeções transversas"
2.-of-10-6-2025-densm-ciaara-ana-caho-512.2.01.pdf;CAHO;X;MARÉS;86;1;O FENÔMENO DA MARÉ;3;2;"Termos básicos da maré; e | Definição de níveis de referência"
